date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,Номинал,"Ставка купона,  % годовых",Размер выплаты
2020-11-11,97.299,97.299,97.1,97.15,0.0,0,0
2020-11-12,98.0,98.0,97.1,97.199,0.0,0,0
2020-11-13,97.149,97.197,97.099,97.15,0.0,0,0
2020-11-16,97.249,97.25,97.09,97.095,0.0,0,0
2020-11-17,96.001,97.229,96.001,97.229,0.0,0,0
2020-11-18,97.3,97.301,97.3,97.3,0.0,0,0
2020-11-19,97.35,97.4,97.35,97.4,0.0,0,0
2020-11-20,97.999,97.999,97.35,97.35,0.0,0,0
2020-11-23,97.351,97.499,97.351,97.45,0.0,0,0
2020-11-24,97.498,97.498,97.4,97.4,0.0,0,0
2020-11-25,97.45,97.46,97.44,97.45,0.0,0,0
2020-11-26,97.43,97.43,97.419,97.42,0.0,0,0
2020-11-27,97.42,97.44,97.42,97.42,0.0,0,0
2020-11-30,97.499,97.499,97.4,97.45,0.0,0,0
2020-12-01,97.499,97.6,97.405,97.6,0.0,0,0
2020-12-02,97.55,97.6,97.45,97.45,0.0,0,0
2020-12-03,97.649,97.7,97.62,97.62,0.0,0,0
2020-12-04,97.7,97.949,97.7,97.701,0.0,0,0
2020-12-07,97.75,97.85,97.7,97.75,0.0,0,0
2020-12-08,97.777,98.0,97.75,97.8,0.0,0,0
2020-12-09,97.849,97.849,97.8,97.849,0.0,0,0
2020-12-10,97.849,97.85,97.849,97.85,0.0,0,0
2020-12-11,97.799,97.799,97.651,97.651,0.0,0,0
2020-12-14,97.75,97.75,97.75,97.75,0.0,0,0
2020-12-15,97.749,97.749,97.749,97.749,0.0,0,0
2020-12-16,97.748,97.748,97.699,97.699,0.0,0,0
2020-12-17,97.9,97.9,97.67,97.749,0.0,0,0
2020-12-18,97.749,97.899,97.651,97.899,0.0,0,0
2020-12-21,97.651,97.699,97.6,97.699,0.0,0,0
2020-12-22,97.699,97.699,97.699,97.699,0.0,0,0
2020-12-23,97.699,97.699,97.65,97.65,0.0,0,0
2020-12-24,97.749,97.749,97.67,97.749,0.0,0,0
2020-12-25,97.699,97.699,97.66,97.66,0.0,0,0
2020-12-28,97.699,97.699,97.551,97.651,0.0,0,0
2020-12-29,96.699,97.66,96.66,97.651,0.0,0,0
2020-12-30,97.65,97.85,97.1,97.65,0.0,0,0
2021-01-04,98.5,98.5,98.5,98.5,0.0,0,0
2021-01-06,98.5,98.5,98.5,98.5,0.0,0,0
2021-01-08,98.0,98.0,98.0,98.0,0.0,0,0
2021-01-11,97.7,97.749,97.651,97.749,0.0,0,0
2021-01-12,97.8,97.8,97.8,97.8,0.0,0,0
2021-01-13,97.749,97.749,97.749,97.749,0.0,0,0
2021-01-14,97.749,97.749,97.74,97.74,0.0,0,0
2021-01-15,97.74,97.74,97.66,97.66,0.0,0,0
2021-01-19,97.661,97.7,97.661,97.7,0.0,0,0
2021-01-20,98.0,98.0,97.651,97.7,0.0,0,0
2021-01-21,97.749,97.749,97.749,97.749,0.0,0,0
2021-01-22,97.699,97.699,97.699,97.699,0.0,0,0
2021-01-25,97.7,97.7,97.7,97.7,0.0,0,0
2021-01-27,97.7,97.7,97.699,97.699,0.0,0,0
2021-01-28,97.67,97.699,97.65,97.65,0.0,0,0
2021-01-29,97.65,97.65,97.65,97.65,0.0,0,0
2021-02-01,97.65,97.65,97.65,97.65,0.0,0,0
2021-02-02,98.0,98.0,97.611,97.7,0.0,0,0
2021-02-03,97.7,97.7,97.6,97.6,0.0,0,0
2021-02-04,97.699,97.699,97.699,97.699,0.0,0,0
2021-02-05,97.8,97.8,96.0,97.611,0.0,0,0
2021-02-08,97.611,97.749,97.5,97.5,0.0,0,0
2021-02-09,98.0,98.0,97.5,97.5,0.0,0,0
2021-02-10,97.7,97.7,97.7,97.7,0.0,0,0
2021-02-12,97.551,97.551,97.491,97.491,0.0,0,0
2021-02-15,97.65,97.65,97.471,97.471,0.0,0,0
2021-02-16,97.999,97.999,97.441,97.441,0.0,0,0
2021-02-17,97.451,97.451,97.451,97.451,0.0,0,0
2021-02-18,97.549,97.549,97.441,97.549,0.0,0,0
2021-02-19,97.499,97.499,97.4,97.4,0.0,0,0
2021-02-20,97.999,97.999,97.999,97.999,0.0,0,0
2021-02-24,97.431,97.499,97.401,97.499,0.0,0,0
2021-02-25,97.25,97.51,97.25,97.51,0.0,0,0
2021-02-26,97.459,97.65,97.421,97.65,0.0,0,0
2021-03-03,97.499,97.499,97.499,97.499,0.0,0,0
2021-03-04,97.549,97.59,97.549,97.59,0.0,0,0
2021-03-05,97.62,97.62,97.619,97.619,0.0,0,0
2021-03-09,97.599,97.599,97.451,97.58,0.0,0,0
2021-03-11,97.599,97.599,97.599,97.599,0.0,0,0
2021-03-15,97.7,97.719,97.7,97.71,0.0,0,0
2021-03-16,98.0,98.0,97.551,97.799,0.0,0,0
2021-03-17,97.711,97.799,97.651,97.651,0.0,0,0
2021-03-18,97.799,97.799,97.731,97.75,0.0,0,0
2021-03-19,97.75,97.75,97.75,97.75,0.0,0,0
2021-03-22,97.55,97.798,96.0,97.751,0.0,0,0
2021-03-23,97.7,98.0,97.7,97.9,0.0,0,0
2021-03-24,97.849,98.0,97.849,98.0,0.0,0,0
2021-03-25,97.751,97.751,97.751,97.751,0.0,0,0
2021-03-26,97.849,97.849,97.751,97.751,0.0,0,0
2021-03-29,97.849,97.849,97.849,97.849,0.0,0,0
2021-03-30,97.849,97.849,97.848,97.848,0.0,0,0
2021-03-31,97.751,97.849,97.751,97.849,1000.0,"4,12","15,82"
2021-04-01,97.8,97.8,97.8,97.8,0.0,0,0
2021-04-02,97.751,97.751,97.751,97.751,0.0,0,0
2021-04-05,97.8,97.849,97.8,97.849,0.0,0,0
2021-04-06,97.849,97.849,97.849,97.849,0.0,0,0
2021-04-07,97.849,98.0,97.8,98.0,0.0,0,0
2021-04-08,97.8,97.849,97.8,97.849,0.0,0,0
2021-04-12,97.849,97.849,97.849,97.849,0.0,0,0
2021-04-14,97.849,97.849,97.849,97.849,0.0,0,0
2021-04-15,97.0,97.849,97.0,97.711,0.0,0,0
