date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,Номинал,"Ставка купона,  % годовых",Размер выплаты
2020-01-03,105.8,105.949,105.466,105.7,0.0,0,0
2020-01-06,105.463,105.955,105.463,105.7,0.0,0,0
2020-01-08,105.523,105.863,105.523,105.57,0.0,0,0
2020-01-09,105.798,105.909,105.601,105.897,0.0,0,0
2020-01-10,105.638,106.355,105.638,106.302,0.0,0,0
2020-01-13,105.851,106.992,105.851,106.502,0.0,0,0
2020-01-14,106.501,106.8,106.373,106.694,0.0,0,0
2020-01-15,106.372,106.697,106.097,106.205,0.0,0,0
2020-01-16,106.529,106.54,106.302,106.535,0.0,0,0
2020-01-17,106.693,106.695,106.324,106.669,0.0,0,0
2020-01-20,106.609,106.695,106.44,106.67,0.0,0,0
2020-01-21,106.485,106.709,106.485,106.599,0.0,0,0
2020-01-22,106.687,106.74,106.351,106.649,0.0,0,0
2020-01-23,106.825,106.825,106.502,106.65,0.0,0,0
2020-01-24,106.797,106.8,106.4,106.8,0.0,0,0
2020-01-27,106.481,106.517,106.123,106.126,0.0,0,0
2020-01-28,106.398,106.597,105.81,106.206,0.0,0,0
2020-01-29,105.973,106.421,105.971,106.325,1000.0,"7,05","35,15"
2020-01-30,106.325,106.44,106.021,106.38,0.0,0,0
2020-01-31,106.108,106.63,106.108,106.18,0.0,0,0
2020-02-03,106.121,106.37,106.02,106.198,0.0,0,0
2020-02-04,106.2,106.446,106.101,106.446,0.0,0,0
2020-02-05,106.479,106.82,106.215,106.748,0.0,0,0
2020-02-06,106.826,106.827,106.497,106.626,0.0,0,0
2020-02-07,106.699,107.067,106.411,106.77,0.0,0,0
2020-02-10,106.771,107.094,106.651,106.773,0.0,0,0
2020-02-11,106.66,107.06,106.565,106.94,0.0,0,0
2020-02-12,106.734,107.492,106.734,107.492,0.0,0,0
2020-02-13,107.157,107.695,107.152,107.502,0.0,0,0
2020-02-14,107.749,107.854,107.404,107.854,0.0,0,0
2020-02-17,108.119,108.119,107.651,108.009,0.0,0,0
2020-02-18,108.049,108.049,107.601,107.906,0.0,0,0
2020-02-19,107.107,108.369,107.107,108.369,0.0,0,0
2020-02-20,107.974,108.646,107.974,108.544,0.0,0,0
2020-02-21,108.547,108.547,108.195,108.357,0.0,0,0
2020-02-25,108.249,108.249,107.6,107.728,0.0,0,0
2020-02-26,107.206,107.726,107.081,107.5,0.0,0,0
2020-02-27,107.448,107.559,106.2,106.201,0.0,0,0
2020-02-28,106.484,107.799,103.751,105.05,0.0,0,0
2020-03-02,104.501,106.348,104.501,105.184,0.0,0,0
2020-03-03,105.995,106.763,105.418,106.763,0.0,0,0
2020-03-04,106.0,107.999,106.0,107.851,0.0,0,0
2020-03-05,108.076,108.25,107.0,107.0,0.0,0,0
2020-03-06,107.009,107.009,104.211,105.123,0.0,0,0
2020-03-10,101.427,103.51,99.899,101.8,0.0,0,0
2020-03-11,101.513,102.849,100.114,100.115,0.0,0,0
2020-03-12,99.001,100.957,95.341,95.999,0.0,0,0
2020-03-13,96.928,98.7,96.061,97.499,0.0,0,0
2020-03-16,97.779,97.779,95.21,95.8,0.0,0,0
2020-03-17,96.499,97.778,95.26,96.309,0.0,0,0
2020-03-18,95.391,95.998,93.53,93.53,0.0,0,0
2020-03-19,97.11,97.11,93.5,95.349,0.0,0,0
2020-03-20,95.998,98.437,95.349,97.408,0.0,0,0
2020-03-23,96.714,98.289,96.013,98.198,0.0,0,0
2020-03-24,98.501,101.299,98.501,100.4,0.0,0,0
2020-03-25,101.479,101.532,99.011,100.001,0.0,0,0
2020-03-26,100.707,101.399,99.8,100.835,0.0,0,0
2020-03-27,100.8,101.96,100.7,101.17,0.0,0,0
2020-03-30,100.91,101.748,99.63,101.573,0.0,0,0
2020-03-31,100.771,103.099,100.771,102.569,0.0,0,0
2020-04-01,102.569,102.74,102.134,102.628,0.0,0,0
2020-04-02,102.937,103.29,101.501,102.0,0.0,0,0
2020-04-03,102.01,103.0,101.534,102.261,0.0,0,0
2020-04-06,102.917,103.029,102.262,102.99,0.0,0,0
2020-04-07,102.773,103.288,102.507,102.989,0.0,0,0
2020-04-08,102.999,103.0,102.422,102.855,0.0,0,0
2020-04-09,103.249,103.46,102.66,103.014,0.0,0,0
2020-04-10,103.121,103.488,103.121,103.447,0.0,0,0
2020-04-13,103.63,103.797,103.27,103.532,0.0,0,0
2020-04-14,103.376,103.778,103.211,103.427,0.0,0,0
2020-04-15,103.215,103.507,102.741,102.815,0.0,0,0
2020-04-16,102.939,103.779,102.65,103.61,0.0,0,0
2020-04-17,103.6,106.009,103.6,106.009,0.0,0,0
2020-04-20,106.287,106.888,105.752,106.6,0.0,0,0
2020-04-21,106.391,106.909,105.381,105.729,0.0,0,0
2020-04-22,105.69,106.633,105.39,106.633,0.0,0,0
2020-04-23,106.621,107.35,106.62,107.288,0.0,0,0
2020-04-24,107.343,108.25,107.07,107.847,0.0,0,0
2020-04-27,107.802,108.059,107.585,107.699,0.0,0,0
2020-04-28,107.796,107.908,107.287,107.705,0.0,0,0
2020-04-29,107.581,107.985,107.501,107.502,0.0,0,0
2020-04-30,107.46,107.935,107.411,107.798,0.0,0,0
2020-05-04,107.89,107.89,107.413,107.879,0.0,0,0
2020-05-05,107.9,108.082,107.758,107.82,0.0,0,0
2020-05-06,107.2,107.979,106.6,107.696,0.0,0,0
2020-05-07,107.653,107.798,107.508,107.65,0.0,0,0
2020-05-08,107.798,109.21,107.555,108.609,0.0,0,0
2020-05-12,108.697,109.148,108.5,109.11,0.0,0,0
2020-05-13,109.111,109.348,108.94,109.009,0.0,0,0
2020-05-14,109.338,109.749,108.877,109.699,0.0,0,0
2020-05-15,109.999,111.34,109.58,111.14,0.0,0,0
2020-05-18,112.045,112.045,111.232,111.551,0.0,0,0
2020-05-19,111.371,111.709,111.152,111.5,0.0,0,0
2020-05-20,111.637,112.289,111.318,111.999,0.0,0,0
2020-05-21,111.559,112.122,111.559,111.85,0.0,0,0
