date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,Номинал,"Ставка купона,  % годовых",Размер выплаты
2020-01-03,155.579,155.579,155.579,155.579,0.0,0,0
2020-01-16,117.0,130.0,117.0,130.0,0.0,0,0
2020-01-23,183.595,183.595,183.595,183.595,0.0,0,0
2020-01-27,183.664,183.664,149.999,149.999,0.0,0,0
2020-01-28,150.01,150.01,125.002,149.999,0.0,0,0
2020-01-29,150.499,169.0,150.499,169.0,0.0,0,0
2020-01-30,169.0,169.0,115.005,116.618,1000.0,8.16,28.48
2020-01-31,125.002,125.002,115.337,115.343,0.0,0,0
2020-02-03,130.0,139.0,130.0,131.0,0.0,0,0
2020-02-04,125.0,168.997,125.0,168.997,0.0,0,0
2020-02-05,159.998,159.998,159.992,159.993,0.0,0,0
2020-02-06,160.02,160.02,150.02,155.0,0.0,0,0
2020-02-07,132.018,132.018,132.018,132.018,0.0,0,0
2020-02-10,135.0,154.999,135.0,154.999,0.0,0,0
2020-02-11,130.068,140.0,130.004,140.0,0.0,0,0
2020-02-12,137.0,137.0,137.0,137.0,0.0,0,0
2020-02-14,149.999,149.999,149.999,149.999,0.0,0,0
2020-02-17,122.035,122.035,110.0,110.0,0.0,0,0
2020-02-18,110.0,129.791,108.0,108.0,0.0,0,0
2020-02-19,108.0,108.0,107.5,107.5,0.0,0,0
2020-02-20,118.246,118.246,107.5,107.5,0.0,0,0
2020-02-21,111.959,111.959,111.959,111.959,0.0,0,0
2020-02-25,107.5,107.5,107.101,107.101,0.0,0,0
2020-02-26,105.001,108.0,105.001,108.0,0.0,0,0
2020-02-27,108.0,108.0,107.0,107.0,0.0,0,0
2020-02-28,114.989,114.989,101.002,104.998,0.0,0,0
2020-03-02,105.25,106.0,105.25,105.6,0.0,0,0
2020-03-03,106.75,106.75,106.5,106.5,0.0,0,0
2020-03-04,107.0,107.0,107.0,107.0,0.0,0,0
2020-03-05,108.998,109.0,108.998,109.0,0.0,0,0
2020-03-06,110.079,110.079,106.67,108.997,0.0,0,0
2020-03-10,108.986,108.986,108.986,108.986,0.0,0,0
2020-03-11,108.564,108.564,105.502,106.0,0.0,0,0
2020-03-12,105.502,105.502,105.5,105.5,0.0,0,0
2020-03-13,101.012,109.175,101.012,103.5,0.0,0,0
2020-03-16,105.0,105.0,103.0,105.0,0.0,0,0
2020-03-17,104.5,104.5,104.5,104.5,0.0,0,0
2020-03-18,104.0,104.0,102.0,102.0,0.0,0,0
2020-03-19,101.305,108.474,101.305,102.2,0.0,0,0
2020-03-20,101.305,109.479,101.305,105.0,0.0,0,0
2020-03-23,108.31,108.31,103.5,104.0,0.0,0,0
2020-03-24,108.315,108.315,105.0,105.75,0.0,0,0
2020-03-25,104.25,105.0,104.2,104.2,0.0,0,0
2020-03-26,104.3,104.3,104.0,104.0,0.0,0,0
2020-03-27,108.19,108.19,108.19,108.19,0.0,0,0
2020-03-30,108.99,108.99,105.999,105.999,0.0,0,0
2020-03-31,108.222,108.223,104.5,107.1,0.0,0,0
2020-04-01,108.1,108.1,108.1,108.1,0.0,0,0
2020-04-02,106.0,106.0,105.0,105.0,0.0,0,0
2020-04-03,106.0,106.0,106.0,106.0,0.0,0,0
2020-04-06,103.88,108.984,103.88,106.999,0.0,0,0
2020-04-07,108.997,108.997,107.0,107.999,0.0,0,0
2020-04-08,108.852,108.852,105.051,106.0,0.0,0,0
2020-04-09,106.0,106.0,105.25,106.0,0.0,0,0
2020-04-10,108.088,108.088,108.082,108.082,0.0,0,0
2020-04-13,108.001,110.0,103.002,106.013,0.0,0,0
2020-04-14,106.5,106.5,106.5,106.5,0.0,0,0
2020-04-15,107.16,107.16,107.0,107.0,0.0,0,0
2020-04-16,106.939,106.939,106.9,106.9,0.0,0,0
2020-04-17,108.828,108.828,106.0,107.102,0.0,0,0
2020-04-20,107.0,107.0,106.1,106.48,0.0,0,0
2020-04-21,104.014,107.311,104.014,107.0,0.0,0,0
2020-04-22,107.5,107.55,107.5,107.549,0.0,0,0
2020-04-23,107.0,107.52,107.0,107.52,0.0,0,0
2020-04-24,107.0,107.699,107.0,107.68,0.0,0,0
2020-04-27,101.527,108.32,101.526,107.969,0.0,0,0
2020-04-28,108.997,108.997,106.502,108.918,0.0,0,0
2020-04-29,109.11,109.11,107.63,107.985,0.0,0,0
2020-04-30,108.0,108.0,108.0,108.0,0.0,0,0
2020-05-04,105.266,108.0,105.266,108.0,0.0,0,0
2020-05-05,107.5,108.0,107.5,108.0,0.0,0,0
2020-05-06,108.0,108.994,108.0,108.989,0.0,0,0
2020-05-07,108.975,108.975,107.75,107.75,0.0,0,0
2020-05-08,108.971,108.973,108.947,108.947,0.0,0,0
2020-05-12,108.979,109.368,106.901,107.004,0.0,0,0
2020-05-13,107.1,109.368,107.0,109.342,0.0,0,0
2020-05-14,109.369,109.49,106.9,109.49,0.0,0,0
2020-05-15,109.5,109.742,108.5,109.709,0.0,0,0
2020-05-18,106.7,109.949,106.7,109.949,0.0,0,0
2020-05-19,109.96,110.0,108.0,109.99,0.0,0,0
2020-05-20,109.993,111.983,109.7,109.999,0.0,0,0
2020-05-21,110.497,110.497,109.7,110.0,0.0,0,0
2020-05-22,110.0,110.249,109.75,110.249,0.0,0,0
2020-05-25,109.3,109.3,103.006,109.0,0.0,0,0
2020-05-26,110.9,111.978,108.75,111.978,0.0,0,0
2020-05-27,111.751,111.751,111.751,111.751,0.0,0,0
2020-05-28,111.998,111.998,111.995,111.995,0.0,0,0
2020-05-29,114.234,114.234,114.234,114.234,0.0,0,0
2020-06-01,109.5,110.25,109.5,110.25,0.0,0,0
2020-06-02,102.001,110.25,102.001,109.5,0.0,0,0
2020-06-03,108.35,110.249,108.35,110.248,0.0,0,0
2020-06-04,110.199,110.199,109.999,109.999,0.0,0,0
2020-06-05,109.999,110.0,109.999,110.0,0.0,0,0
2020-06-08,110.25,110.25,110.249,110.249,0.0,0,0
2020-06-09,110.249,110.249,110.1,110.1,0.0,0,0
2020-06-10,110.3,110.3,110.0,110.0,0.0,0,0
2020-06-11,110.0,110.0,110.0,110.0,0.0,0,0
