date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,Номинал,"Ставка купона,  % годовых",Размер выплаты
2020-01-03,111.901,112.1,111.901,111.902,0.0,0,0
2020-01-06,111.902,112.099,111.74,112.0,0.0,0,0
2020-01-08,112.099,112.101,111.905,111.97,0.0,0,0
2020-01-09,112.578,112.578,111.91,112.005,0.0,0,0
2020-01-10,112.137,112.137,111.795,112.099,0.0,0,0
2020-01-13,111.828,112.086,111.828,112.086,0.0,0,0
2020-01-14,111.804,112.025,111.804,111.985,0.0,0,0
2020-01-15,112.01,112.01,111.83,111.94,0.0,0,0
2020-01-16,112.073,112.073,111.8,111.8,0.0,0,0
2020-01-17,112.577,112.577,111.811,112.0,0.0,0,0
2020-01-20,111.804,112.092,111.804,111.988,0.0,0,0
2020-01-21,112.094,112.094,111.802,111.897,0.0,0,0
2020-01-22,111.823,112.093,111.821,111.899,0.0,0,0
2020-01-23,111.758,112.1,111.758,112.066,0.0,0,0
2020-01-24,112.097,112.1,112.001,112.1,0.0,0,0
2020-01-27,112.1,112.26,112.002,112.103,0.0,0,0
2020-01-28,111.88,112.578,111.879,112.245,0.0,0,0
2020-01-29,112.27,112.27,112.015,112.27,0.0,0,0
2020-01-30,112.267,112.545,112.2,112.261,0.0,0,0
2020-01-31,112.489,112.53,112.489,112.52,0.0,0,0
2020-02-03,112.677,112.677,112.343,112.477,0.0,0,0
2020-02-04,112.639,112.639,112.456,112.456,0.0,0,0
2020-02-05,112.639,112.639,112.449,112.55,0.0,0,0
2020-02-06,112.55,112.609,112.503,112.55,0.0,0,0
2020-02-07,112.68,112.68,112.507,112.64,0.0,0,0
2020-02-10,112.64,112.85,112.536,112.55,0.0,0,0
2020-02-11,112.798,112.798,112.546,112.55,0.0,0,0
2020-02-12,112.8,112.972,112.525,112.85,0.0,0,0
2020-02-13,112.806,112.85,112.78,112.85,0.0,0,0
2020-02-14,112.981,112.985,112.83,112.985,0.0,0,0
2020-02-17,112.986,112.986,112.83,112.85,0.0,0,0
2020-02-18,112.983,113.0,112.801,112.85,0.0,0,0
2020-02-19,112.802,112.999,112.8,112.9,0.0,0,0
2020-02-20,113.049,113.049,112.825,112.83,0.0,0,0
2020-02-21,112.949,112.95,112.8,112.85,0.0,0,0
2020-02-25,112.95,112.95,112.816,112.816,0.0,0,0
2020-02-26,113.047,113.047,112.8,112.83,0.0,0,0
2020-02-27,112.899,112.899,112.769,112.84,0.0,0,0
2020-02-28,112.751,112.844,111.026,112.073,0.0,0,0
2020-03-02,112.799,112.799,110.07,112.443,0.0,0,0
2020-03-03,112.434,112.75,111.5,112.481,0.0,0,0
2020-03-04,112.845,112.85,112.499,112.85,0.0,0,0
2020-03-05,113.1,113.1,112.513,112.85,0.0,0,0
2020-03-06,112.865,112.865,112.601,112.653,0.0,0,0
2020-03-10,110.101,111.999,109.51,110.946,0.0,0,0
2020-03-11,111.494,111.631,110.42,110.623,0.0,0,0
2020-03-12,109.978,110.598,109.127,109.997,0.0,0,0
2020-03-13,109.41,110.785,109.402,109.807,0.0,0,0
2020-03-16,109.198,110.25,107.762,108.463,0.0,0,0
2020-03-17,109.885,109.885,107.8,108.01,0.0,0,0
2020-03-18,108.997,109.0,105.572,105.642,0.0,0,0
2020-03-19,105.2,107.0,104.3,107.0,0.0,0,0
2020-03-20,108.249,108.5,105.999,107.037,0.0,0,0
2020-03-23,107.671,107.8,106.052,106.96,0.0,0,0
2020-03-24,108.2,108.449,106.901,108.221,0.0,0,0
2020-03-25,108.001,108.888,106.287,108.3,0.0,0,0
2020-03-26,108.75,109.2,107.998,109.2,0.0,0,0
2020-03-27,110.039,110.039,108.733,109.71,0.0,0,0
2020-03-30,108.254,109.998,107.465,109.349,0.0,0,0
2020-03-31,108.504,110.29,108.504,109.579,0.0,0,0
2020-04-01,109.011,110.619,109.011,109.61,0.0,0,0
2020-04-02,110.18,110.891,109.504,110.123,0.0,0,0
2020-04-03,110.889,110.889,109.41,110.158,0.0,0,0
2020-04-06,110.499,110.891,110.101,110.868,0.0,0,0
2020-04-07,110.89,110.9,110.109,110.8,0.0,0,0
2020-04-08,110.798,110.99,110.501,110.8,0.0,0,0
2020-04-09,110.989,111.3,110.451,111.299,0.0,0,0
2020-04-10,111.39,111.5,111.29,111.49,0.0,0,0
2020-04-13,111.301,111.769,111.301,111.495,0.0,0,0
2020-04-14,111.687,111.799,111.493,111.5,0.0,0,0
2020-04-15,111.731,111.85,111.49,111.726,0.0,0,0
2020-04-16,111.635,111.798,111.05,111.499,0.0,0,0
2020-04-17,111.05,112.13,111.042,111.5,0.0,0,0
2020-04-20,111.956,112.326,111.78,112.0,0.0,0,0
2020-04-21,111.752,112.497,111.7,111.9,0.0,0,0
2020-04-22,111.5,112.195,111.1,112.0,0.0,0,0
2020-04-23,112.19,112.42,112.04,112.199,0.0,0,0
2020-04-24,112.42,112.421,111.801,112.0,0.0,0,0
2020-04-27,112.37,113.0,111.651,112.0,0.0,0,0
2020-04-28,112.385,112.385,111.764,111.8,0.0,0,0
2020-04-29,111.998,112.0,111.651,111.7,0.0,0,0
2020-04-30,112.248,112.419,111.777,111.8,0.0,0,0
2020-05-04,112.344,112.345,111.7,112.0,0.0,0,0
2020-05-05,112.276,112.419,112.0,112.3,0.0,0,0
2020-05-06,112.799,112.799,111.907,112.0,0.0,0,0
2020-05-07,112.384,112.384,111.899,111.9,0.0,0,0
2020-05-08,111.801,112.2,111.801,111.888,0.0,0,0
2020-05-12,112.332,112.332,111.5,111.89,0.0,0,0
2020-05-13,111.999,112.25,111.8,112.0,0.0,0,0
2020-05-14,111.51,112.0,111.508,112.0,0.0,0,0
2020-05-15,112.0,112.11,111.511,111.95,0.0,0,0
2020-05-18,112.307,112.307,111.704,112.0,0.0,0,0
