date,curs
2023-12-30,99.1919
2023-12-29,100.5506
2023-12-28,101.3451
2023-12-27,101.1178
2023-12-26,101.5781
2023-12-23,101.2863
2023-12-22,100.5113
2023-12-21,99.048
2023-12-20,98.5764
2023-12-19,98.7578
2023-12-16,98.4186
2023-12-15,97.7377
2023-12-14,96.95
2023-12-13,97.403
2023-12-12,98.0769
2023-12-09,98.8409
2023-12-08,99.8131
2023-12-07,100.1353
2023-12-06,99.134
2023-12-05,98.5768
2023-12-02,97.9126
2023-12-01,96.8827
2023-11-30,97.6503
2023-11-29,97.0659
2023-11-28,97.1594
2023-11-25,96.9187
2023-11-24,96.2273
2023-11-23,96.1475
2023-11-22,96.2561
2023-11-21,96.6597
2023-11-18,96.7692
2023-11-17,96.5921
2023-11-16,97.1334
2023-11-15,97.7781
2023-11-14,98.5314
2023-11-11,98.3155
2023-11-10,98.4076
2023-11-09,98.4403
2023-11-08,98.7863
2023-11-04,99.0111
2023-11-03,98.9995
2023-11-02,98.4365
2023-11-01,97.9345
2023-10-31,98.6164
2023-10-28,98.3504
2023-10-27,98.7376
2023-10-26,98.6543
2023-10-25,99.5534
2023-10-24,100.303
2023-10-21,101.4257
2023-10-20,102.6255
2023-10-19,102.9059
2023-10-18,102.7527
2023-10-17,102.52
2023-10-14,102.5523
2023-10-13,103.035
2023-10-12,105.9544
2023-10-11,105.6864
2023-10-10,107.0322
2023-10-07,106.01
2023-10-06,104.7877
2023-10-05,104.3024
2023-10-04,104.0621
2023-10-03,103.868
2023-09-30,103.1631
2023-09-29,102.0979
2023-09-28,101.978
2023-09-27,101.9888
2023-09-26,102.2453
2023-09-23,102.2485
2023-09-22,102.3606
2023-09-21,103.3699
2023-09-20,102.9211
2023-09-19,103.0945
2023-09-16,103.0358
2023-09-15,103.2289
2023-09-14,103.1066
2023-09-13,101.5646
2023-09-12,103.5332
2023-09-09,104.8872
2023-09-08,105.2776
2023-09-07,105.0789
2023-09-06,104.9043
2023-09-05,104.4171
2023-09-02,104.6108
2023-09-01,104.9407
2023-08-31,104.4496
2023-08-30,103.4765
2023-08-29,103.2434
2023-08-26,102.2586
2023-08-25,102.4719
2023-08-24,102.2452
2023-08-23,102.753
2023-08-22,102.5719
2023-08-19,101.4802
2023-08-18,102.181
2023-08-17,105.6591
2023-08-16,106.5736
2023-08-15,110.6847
2023-08-12,107.9723
2023-08-11,107.1563
2023-08-10,106.8897
2023-08-09,105.4352
2023-08-08,106.0543
2023-08-05,103.8379
2023-08-04,102.531
2023-08-03,101.9268
2023-08-02,100.6988
2023-08-01,100.9428
2023-07-29,99.9586
2023-07-28,100.2173
2023-07-27,99.7156
2023-07-26,99.6918
2023-07-25,100.3614
2023-07-22,100.6562
2023-07-21,101.833
2023-07-20,102.4441
2023-07-19,102.0271
2023-07-18,101.6496
2023-07-15,101.1992
2023-07-14,100.6788
2023-07-13,99.889
2023-07-12,99.6775
2023-07-11,100.4155
2023-07-08,99.8189
2023-07-07,100.7163
2023-07-06,98.4144
2023-07-05,97.7382
